               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10245,            0.040698,            0.040436,             0.24584,             0.14794,             0.18161,            0.051579,            0.078499,            0.018455,            0.041881,              0.0739,              0.0029,              0.0029
                   1,            0.073657,            0.045489,            0.035501,             0.24267,             0.56536,             0.25171,            0.093443,            0.068993,            0.023863,            0.034026,            0.046885,           0.0058854,           0.0058854
                   2,            0.065709,            0.040339,            0.032398,             0.33289,             0.46615,             0.38427,             0.23071,            0.060523,             0.01455,            0.030096,            0.019856,           0.0088559,           0.0088559
                   3,            0.064381,            0.037233,            0.027125,             0.47005,             0.50271,             0.48739,             0.25567,            0.062237,            0.012346,            0.020676,           0.0099258,           0.0099258,           0.0099258
                   4,             0.05954,            0.034569,            0.020896,             0.46664,               0.604,             0.54023,             0.25608,            0.051962,            0.013168,            0.016375,           0.0099258,           0.0099258,           0.0099258
                   5,            0.053875,            0.033337,            0.016246,             0.61418,              0.6002,             0.61885,             0.33983,            0.051146,            0.012558,            0.014757,            0.009901,            0.009901,            0.009901
                   6,            0.053068,            0.035067,            0.014896,             0.51229,             0.66874,             0.58799,             0.33797,            0.046738,            0.012039,            0.019023,           0.0098763,           0.0098763,           0.0098763
                   7,            0.050005,            0.034843,            0.013881,             0.79845,             0.61684,             0.69765,             0.39878,            0.046218,            0.011894,             0.01768,           0.0098515,           0.0098515,           0.0098515
                   8,            0.048429,            0.033068,            0.012521,             0.62179,             0.51835,             0.57602,             0.31671,            0.045767,             0.01219,            0.020167,           0.0098268,           0.0098268,           0.0098268
                   9,            0.044802,            0.031974,            0.011261,             0.52726,             0.67034,             0.60958,             0.38281,            0.039968,            0.011681,            0.018601,            0.009802,            0.009802,            0.009802
                  10,            0.046032,            0.033108,            0.010304,             0.66642,             0.58337,             0.62631,             0.38789,            0.042094,            0.012441,            0.018362,           0.0097773,           0.0097773,           0.0097773
                  11,             0.04399,            0.032862,             0.01072,             0.63518,             0.67126,             0.66047,              0.4012,            0.040289,            0.012297,            0.020316,           0.0097525,           0.0097525,           0.0097525
                  12,            0.043439,            0.030956,           0.0097576,             0.71704,             0.61934,             0.66416,             0.43143,            0.039447,            0.011586,            0.021246,           0.0097278,           0.0097278,           0.0097278
                  13,            0.041738,            0.030412,           0.0095266,             0.81986,              0.6275,             0.75385,             0.44537,            0.038488,             0.01198,            0.015902,            0.009703,            0.009703,            0.009703
                  14,            0.042522,            0.032125,           0.0095743,              0.8084,             0.66991,             0.78204,             0.49196,            0.039905,            0.011898,            0.014825,           0.0096783,           0.0096783,           0.0096783
                  15,            0.042435,            0.031013,           0.0090947,             0.84326,              0.6619,             0.74778,             0.50362,            0.037336,            0.012406,            0.018774,           0.0096535,           0.0096535,           0.0096535
                  16,            0.040069,               0.031,            0.010008,             0.78158,             0.64254,             0.72395,             0.45742,            0.040255,            0.011907,            0.023809,           0.0096288,           0.0096288,           0.0096288
                  17,            0.040563,            0.030434,           0.0082583,             0.81876,             0.70651,             0.78416,             0.51902,            0.038299,            0.011752,             0.01672,            0.009604,            0.009604,            0.009604
                  18,            0.039588,            0.032691,           0.0087733,             0.81049,             0.69322,             0.76698,             0.48875,            0.039353,            0.012595,            0.018275,           0.0095793,           0.0095793,           0.0095793
                  19,             0.03945,            0.030721,           0.0076713,             0.78755,             0.61067,             0.70043,             0.45699,              0.0401,            0.013612,            0.021755,           0.0095545,           0.0095545,           0.0095545
                  20,            0.038132,            0.030605,           0.0089334,             0.83123,             0.61774,             0.76005,             0.53203,            0.035221,            0.012151,            0.017709,           0.0095298,           0.0095298,           0.0095298
                  21,            0.037865,            0.031528,           0.0085436,             0.81254,             0.65085,             0.75878,             0.49727,            0.034955,            0.012302,            0.016871,            0.009505,            0.009505,            0.009505
